trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
4_I12-001_2015I12_1_1_4__1___,00:00:00,00:00:00,par_4_263,0,,,,
4_I12-001_2015I12_1_1_4__1___,00:03:10,00:03:10,par_4_262,1,,,,
4_I12-001_2015I12_1_1_4__1___,00:05:17,00:05:17,par_4_261,2,,,,
4_I12-001_2015I12_1_1_4__1___,00:08:19,00:08:19,par_4_1,3,,,,
4_I12-001_2015I12_1_1_4__1___,00:09:40,00:09:40,par_4_2,4,,,,
4_I12-001_2015I12_1_1_4__1___,00:11:07,00:11:07,par_4_3,5,,,,
4_I12-001_2015I12_1_1_4__1___,00:13:07,00:13:07,par_4_4,6,,,,
4_I12-001_2015I12_1_1_4__1___,00:14:32,00:14:32,par_4_5,7,,,,
4_I12-001_2015I12_1_1_4__1___,00:15:40,00:15:40,par_4_6,8,,,,
4_I12-001_2015I12_1_1_4__1___,00:17:01,00:17:01,par_4_7,9,,,,
4_I12-001_2015I12_1_1_4__1___,00:18:58,00:18:58,par_4_8,10,,,,
4_I12-001_2015I12_1_1_4__1___,00:20:49,00:20:49,par_4_9,11,,,,
4_I12-001_2015I12_1_1_4__1___,00:22:04,00:22:04,par_4_10,12,,,,
4_I12-001_2015I12_1_1_4__1___,00:23:53,00:23:53,par_4_11,13,,,,
4_I12-001_2015I12_1_1_4__1___,00:24:44,00:24:44,par_4_12,14,,,,
4_I12-001_2015I12_1_1_4__1___,00:26:30,00:26:30,par_4_13,15,,,,
4_I12-001_2015I12_1_1_4__1___,00:27:47,00:27:47,par_4_14,16,,,,
4_I12-001_2015I12_1_1_4__1___,00:29:34,00:29:34,par_4_15,17,,,,
4_I12-001_2015I12_1_1_4__1___,00:30:22,00:30:22,par_4_16,18,,,,
4_I12-001_2015I12_1_1_4__1___,00:32:13,00:32:13,par_4_17,19,,,,
4_I12-001_2015I12_1_1_4__1___,00:33:38,00:33:38,par_4_18,20,,,,
4_I12-001_2015I12_1_1_4__1___,00:35:29,00:35:29,par_4_19,21,,,,
4_I12-001_2015I12_1_1_4__1___,00:36:43,00:36:43,par_4_20,22,,,,
4_I12-001_2015I12_1_1_4__1___,00:38:14,00:38:14,par_4_21,23,,,,
4_I12-001_2015I12_1_1_4__1___,00:39:42,00:39:42,par_4_22,24,,,,
4_I12-001_2015I12_1_1_4__1___,00:41:25,00:41:25,par_4_23,25,,,,
4_I12-001_2015I12_1_1_4__1___,00:43:05,00:43:05,par_4_24,26,,,,
4_I12-001_2015I12_1_1_4__1___,00:46:34,00:46:34,par_4_25,27,,,,
4_I12-001_2015I12_1_1_4__1___,00:47:53,00:47:53,par_4_26,28,,,,
4_I12-001_2015I12_1_1_4__1___,00:49:59,00:49:59,par_4_27,29,,,,
4_I12-001_2015I12_1_1_4__1___,00:51:46,00:51:46,par_4_293,30,,,,
4_I12-001_2015I12_1_1_4__1___,00:55:20,00:55:20,par_4_294,31,,,,
4_I12-001_2015I12_1_1_4__1___,00:57:02,00:57:02,par_4_295,32,,,,
4_I12-001_2015I12_2_1_4__1___,00:00:00,00:00:00,par_4_295,0,,,,
4_I12-001_2015I12_2_1_4__1___,00:01:42,00:01:42,par_4_294,1,,,,
4_I12-001_2015I12_2_1_4__1___,00:05:17,00:05:17,par_4_293,2,,,,
4_I12-001_2015I12_2_1_4__1___,00:07:04,00:07:04,par_4_27,3,,,,
4_I12-001_2015I12_2_1_4__1___,00:09:09,00:09:09,par_4_26,4,,,,
4_I12-001_2015I12_2_1_4__1___,00:10:29,00:10:29,par_4_25,5,,,,
4_I12-001_2015I12_2_1_4__1___,00:13:58,00:13:58,par_4_24,6,,,,
4_I12-001_2015I12_2_1_4__1___,00:15:37,00:15:37,par_4_23,7,,,,
4_I12-001_2015I12_2_1_4__1___,00:17:20,00:17:20,par_4_22,8,,,,
4_I12-001_2015I12_2_1_4__1___,00:18:49,00:18:49,par_4_21,9,,,,
4_I12-001_2015I12_2_1_4__1___,00:20:19,00:20:19,par_4_20,10,,,,
4_I12-001_2015I12_2_1_4__1___,00:21:33,00:21:33,par_4_19,11,,,,
4_I12-001_2015I12_2_1_4__1___,00:23:25,00:23:25,par_4_18,12,,,,
4_I12-001_2015I12_2_1_4__1___,00:24:49,00:24:49,par_4_17,13,,,,
4_I12-001_2015I12_2_1_4__1___,00:26:40,00:26:40,par_4_16,14,,,,
4_I12-001_2015I12_2_1_4__1___,00:27:29,00:27:29,par_4_15,15,,,,
4_I12-001_2015I12_2_1_4__1___,00:29:16,00:29:16,par_4_14,16,,,,
4_I12-001_2015I12_2_1_4__1___,00:30:32,00:30:32,par_4_13,17,,,,
4_I12-001_2015I12_2_1_4__1___,00:32:19,00:32:19,par_4_12,18,,,,
4_I12-001_2015I12_2_1_4__1___,00:33:10,00:33:10,par_4_11,19,,,,
4_I12-001_2015I12_2_1_4__1___,00:34:59,00:34:59,par_4_10,20,,,,
4_I12-001_2015I12_2_1_4__1___,00:36:14,00:36:14,par_4_9,21,,,,
4_I12-001_2015I12_2_1_4__1___,00:38:05,00:38:05,par_4_8,22,,,,
4_I12-001_2015I12_2_1_4__1___,00:40:01,00:40:01,par_4_7,23,,,,
4_I12-001_2015I12_2_1_4__1___,00:41:22,00:41:22,par_4_6,24,,,,
4_I12-001_2015I12_2_1_4__1___,00:42:31,00:42:31,par_4_5,25,,,,
4_I12-001_2015I12_2_1_4__1___,00:43:55,00:43:55,par_4_4,26,,,,
4_I12-001_2015I12_2_1_4__1___,00:45:55,00:45:55,par_4_3,27,,,,
4_I12-001_2015I12_2_1_4__1___,00:47:23,00:47:23,par_4_2,28,,,,
4_I12-001_2015I12_2_1_4__1___,00:48:44,00:48:44,par_4_1,29,,,,
4_I12-001_2015I12_2_1_4__1___,00:51:46,00:51:46,par_4_261,30,,,,
4_I12-001_2015I12_2_1_4__1___,00:53:52,00:53:52,par_4_262,31,,,,
4_I12-001_2015I12_2_1_4__1___,00:57:02,00:57:02,par_4_263,32,,,,
4_I13-001_2015I13_1_1_4__1___,06:05:00,06:05:00,par_4_263,0,,,,
