Lito,Depth,BVTX,AVTX,RxoRt,CILD,RLL3,SP,RILD,RILM,DCAL,RHOB,RHOC,DPOR,CNLS,GR,MCAL,MI,MN,DT,ITT,SPOR
NA,341.5000,0.0000,0.0000,-5.3071,210.8786,5.4107,-73.6980,4.7421,4.1557,9.0063,2.2297,0.0968,28.0885,39.3711,89.8569,-999.2500,-999.2500,-999.2500,151.9459,1.0000,73.7948
NA,342.0000,0.0000,0.0000,-5.3284,209.5051,5.3862,-73.7141,4.7732,4.1936,9.0062,2.2281,0.0952,28.1814,43.1578,89.8622,-999.2500,-999.2500,-999.2500,151.8024,0.0000,73.6933
NA,342.5000,0.0000,0.0000,-5.5417,207.8767,5.4753,-73.7983,4.8105,4.2489,9.0062,2.2321,0.0951,27.9477,46.2280,90.9466,-999.2500,-999.2500,-999.2500,151.3719,0.0000,73.3889
NA,343.0000,0.0000,0.0000,-5.8719,206.4264,5.6874,-73.9103,4.8443,4.3080,9.0063,2.2396,0.0966,27.5073,46.7283,89.8011,-999.2500,-999.2500,-999.2500,150.7324,0.0000,72.9366
NA,343.5000,0.0000,0.0000,-6.0862,205.3438,5.8188,-74.0046,4.8699,4.3533,9.0067,2.2449,0.0975,27.2001,45.0753,90.4632,-999.2500,-999.2500,-999.2500,150.0531,0.0000,72.4562
NA,344.0000,0.0000,0.0000,-6.0046,204.6873,5.7714,-74.0519,4.8855,4.3729,9.0059,2.2445,0.0957,27.2196,42.7764,95.0319,-999.2500,-999.2500,-999.2500,149.5370,0.0000,72.0912
NA,344.5000,0.0000,0.0000,-5.6253,204.4462,5.6908,-74.0468,4.8913,4.3645,9.0050,2.2415,0.0917,27.3955,41.4695,95.7912,-999.2500,-999.2500,-999.2500,149.3113,0.0000,71.9316
NA,345.0000,0.0000,0.0000,-5.0764,204.5305,5.5741,-74.0019,4.8892,4.3335,9.0050,2.2415,0.0886,27.4002,41.1944,93.3085,-999.2500,-999.2500,-999.2500,149.3555,0.0000,71.9629
NA,345.5000,0.0000,0.0000,-4.5769,205.1034,5.4373,-73.9302,4.8756,4.2871,9.0072,2.2464,0.0885,27.1122,40.4785,95.4092,-999.2500,-999.2500,-999.2500,149.5492,0.0000,72.0998
NA,346.0000,0.0000,0.0000,-4.3506,206.6171,5.3642,-73.8280,4.8399,4.2299,9.0083,2.2532,0.0903,26.7116,39.3791,97.9510,-999.2500,-999.2500,-999.2500,149.7845,0.0000,72.2663
NA,346.5000,0.0000,0.0000,-4.4641,209.3382,5.3489,-73.6711,4.7770,4.1635,9.0069,2.2572,0.0912,26.4810,39.7569,97.2901,-999.2500,-999.2500,-999.2500,150.0271,0.0000,72.4379
NA,347.0000,0.0000,0.0000,-4.7801,213.0553,5.3401,-73.4329,4.6936,4.0893,9.0053,2.2553,0.0896,26.5883,42.1926,98.1529,-999.2500,-999.2500,-999.2500,150.2956,0.0000,72.6277
NA,347.5000,0.0000,0.0000,-5.0962,217.2089,5.2794,-73.1149,4.6039,4.0129,9.0060,2.2481,0.0867,27.0108,43.2964,102.6420,-999.2500,-999.2500,-999.2500,150.6173,0.0000,72.8553
NA,348.0000,0.0000,0.0000,-5.3058,221.1025,5.1670,-72.7639,4.5228,3.9443,9.0062,2.2382,0.0845,27.5886,40.7665,107.9192,-999.2500,-999.2500,-999.2500,150.9992,1.0000,73.1253
NA,348.5000,0.0000,0.0000,-5.4334,224.0780,5.0524,-72.4582,4.4627,3.8929,9.0059,2.2292,0.0832,28.1145,37.4800,110.5341,-999.2500,-999.2500,-999.2500,151.4150,0.0000,73.4194
NA,349.0000,0.0000,0.0000,-5.5881,226.0056,5.0486,-72.2712,4.4247,3.8627,9.0067,2.2241,0.0820,28.4156,36.2243,104.9874,-999.2500,-999.2500,-999.2500,151.8133,0.0000,73.7011
NA,349.5000,0.0000,0.0000,-5.8423,227.2733,5.1170,-72.2386,4.4000,3.8521,9.0058,2.2237,0.0812,28.4380,38.4924,94.7372,-999.2500,-999.2500,-999.2500,152.1437,0.0000,73.9347
NA,350.0000,0.0000,0.0000,-6.1539,228.1077,5.1267,-72.3475,4.3839,3.8574,9.0055,2.2264,0.0814,28.2805,42.0070,92.3226,-999.2500,-999.2500,-999.2500,152.3797,0.0000,74.1016
