	transportmean_name	line_number	order_number	stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station	stop_timezone	wheelchair_boarding	metro_linked	ml_linked	cr_linked	accesible	parking
25	METRO	1	1_15	par_4_12	12	Sol	Plaza de la Puerta del Sol 6	40.4168864401114	-3.70316633485051	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_12.aspx	0	est_4_12		1	2/3	No	C-3/C-4	Yes	No
26	METRO	1	1_17	par_4_14	14	Antón Martín	Calle de Atocha 50	40.4124776216473	-3.69927817746355	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_14.aspx	0	est_4_14		0	No	No	No	No	No
27	METRO	1	1_18	par_4_15	15	Atocha	Plaza del Emperador Carlos V 11	40.408861422486204	-3.6923933996905	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_15.aspx	0	est_4_15		0	No	No	No	No	No
28	METRO	1	1_16	par_4_13	13	Tirso de Molina	Plaza de Tirso de Molina 7	40.4123554117291	-3.7045688521048796	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_13.aspx	0	est_4_13		0	No	No	No	No	No
29	METRO	1	1_19	par_4_16	16	Atocha Renfe	Avda de la Ciudad de Barcelona 2 B	40.4066007436399	-3.68928254689052	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_16.aspx	0	est_4_16		2	No	No	C-1/C-2/C-3/C-4/C-5/C-7/C-8/C-10	Yes	Yes
30	METRO	1	1_20	par_4_17	17	Menéndez Pelayo	Avda de la Ciudad de Barcelona 23	40.4044612724496	-3.68089359389506	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_17.aspx	0	est_4_17		0	No	No	No	No	No
31	METRO	1	1_21	par_4_18	18	Pacífico	Avda de la Ciudad de Barcelona 79	40.4012703839302	-3.67504008050794	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_18.aspx	0	est_4_18		0	6	No	No	Yes	No
32	METRO	1	1_22	par_4_19	19	Puente de Vallecas	Avda de la Albufera 1	40.3982066068275	-3.66896449103957	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_19.aspx	0	est_4_19		0	No	No	No	No	No
33	METRO	10	10_5	par_4_280	280	Marqués de la Valdavia	Calle del Marqués de la Valdavia 21	40.5410320789939	-3.6372955792163197	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_280.aspx	0	est_4_280		2	No	No	No	Yes	No
34	METRO	10	10_6	par_4_279	279	La Moraleja	Avda de la Ermita 5	40.5319612658917	-3.63547399993539	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_279.aspx	0	est_4_279		2	No	No	No	Yes	No
35	METRO	10	10_31	par_4_205	205	Puerta del Sur	Avda de la Libertad 2	40.345254627936704	-3.8120175031278904	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_205.aspx	0	est_4_205		2	12	No	No	Yes	No
36	METRO	10	10_7	par_4_278	278	La Granja	Calle de Sepúlveda 1	40.5276071989844	-3.6585022791241606	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_278.aspx	0	est_4_278		2	No	No	No	Yes	No
37	METRO	10	10_8	par_4_277	277	Rda. de la Comunicación	Ronda de la Comunicación 22	40.5155475628334	-3.66268097606341	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_277.aspx	0	est_4_277		2	No	No	No	Yes	No
38	METRO	10	10_9	par_4_276	276	Las Tablas	Calle de Palas de Rey 30	40.5083381188636	-3.66934943802173	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_276.aspx	0	est_4_276		2	No	1	No	Yes	No
39	METRO	10	10_10	par_4_275	275	Montecarmelo	Avda de Monasterio de Silos 63 A	40.5052638592485	-3.6956616421367996	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_275.aspx	0	est_4_275		2	No	No	No	Yes	No
40	METRO	10	10_3	par_4_282	282	Baunatal	Avda de las Lomas del Rey 2	40.554431532284	-3.63503679919469	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_282.aspx	0	est_4_282		2	No	No	No	Yes	No
41	METRO	10	10_11	par_4_274	274	Tres Olivos	Acces   M-607 SN	40.5012132002036	-3.6951123248626296	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_274.aspx	0	est_4_274		2	No	No	No	Yes	No
42	METRO	10	10_28	par_4_257	257	Aviación Española	Paseo de Extremadura 463	40.3836472493296	-3.7838269550773798	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_257.aspx	0	est_4_257		2	No	No	No	Yes	No
43	METRO	10	10_4	par_4_281	281	Manuel de Falla	Calle   Manuel de Falla 59	40.5504925884672	-3.6467862352761298	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_281.aspx	0	est_4_281		2	No	No	No	Yes	No
44	METRO	10	10_30	par_4_204	204	Joaquín Vilumbrales	Avda de la Libertad 13	40.3498565924165	-3.8071035974563503	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_204.aspx	0	est_4_204		2	No	No	No	Yes	No
45	METRO	10	10_25	par_4_200	200	Batán	Paseo de la Venta 1	40.407869860622	-3.7530184314236896	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_200.aspx	0	est_4_200		2	No	No	No	Yes	No
46	METRO	10	10_18	par_4_120	120	Nuevos Ministerios	Calle de Raimundo Fernández Villaverde 67	40.4466272794792	-3.6923209277956404	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_120.aspx	0	est_4_120		2	6/8	No	C-1/C-2/C-3/C-4/C-7/C-8/C-10	Yes	Yes
47	METRO	10	10_23	par_4_127	127	Príncipe Pío	Paseo de la Florida 2	40.421078651672204	-3.72023124459144	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_127.aspx	0	est_4_127		1	6/r	No	C-1/C-7/C-10	Yes	No
48	METRO	10	10_27	par_4_202	202	Colonia Jardín	Calle de Arenas de San Pedro 2	40.396989168747396	-3.77451963952354	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_202.aspx	0	est_4_202		2	No	2/3	No	Yes	No
49	METRO	10	10_19	par_4_142	142	Gregorio Marañón	Calle de José Abascal 65	40.4382635307795	-3.6913979909818195	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_142.aspx	0	est_4_142		2	7	No	No	Yes	No
50	METRO	10	10_12	par_4_187	187	Fuencarral	Calle de la Fuente Chica 21	40.495092462574604	-3.69273624863883	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_187.aspx	0	est_4_187		0	No	No	No	No	No
51	METRO	10	10_13	par_4_188	188	Begoña	Paseo de la Castellana 261	40.480422672807606	-3.6857544040484704	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_188.aspx	0	est_4_188		0	No	No	No	No	No
52	METRO	10	10_16	par_4_191	191	Cuzco	Paseo de la Castellana 162	40.4584351968842	-3.6897648654924304	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_191.aspx	0	est_4_191		0	No	No	No	No	No
53	METRO	10	10_24	par_4_199	199	 Lago	Ronda del Lago 3	40.416423751749704	-3.73553974787374	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_199.aspx	0	est_4_199		2	No	No	No	Yes	No
54	METRO	10	10_2	par_4_283	283	Reyes Católicos	Avda de la Plaza de Toros 7	40.5503874239605	-3.62330644093382	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_283.aspx	0	est_4_283		2	No	No	No	Yes	No
55	METRO	10	10_17	par_4_192	192	Santiago Bernabéu	Paseo de la Castellana 97	40.4515943500392	-3.69028455694089	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_192.aspx	0	est_4_192		0	No	No	No	No	No
56	METRO	10	10_22	par_4_50	50	Plaza de España	Plaza de España 1	40.423423391095	-3.7111087783819996	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_50.aspx	0	est_4_50		2	2/3	No	No	Yes	No
57	METRO	10	10_29	par_4_203	203	Cuatro Vientos	Col   Militar de Cuatro Vientos 6 B	40.3777126273337	-3.79142693920467	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_203.aspx	0	est_4_203		2	No	No	C-5	Yes	No
58	METRO	10	10_1	par_4_284	284	Hospital Infanta Sofía	Paseo   Europa 11	40.55977527197629	-3.61136898610133	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_284.aspx	0	est_4_284		2	No	No	No	Yes	No
59	METRO	10	10_20	par_4_57	57	Alonso Martínez	Plaza de Alonso Martínez 4	40.4277324049997	-3.69585237643945	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_57.aspx	0	est_4_57		0	4/5	No	No	No	No
60	METRO	10	10_15	par_4_1	1	Plaza de Castilla	Paseo de la Castellana 189	40.4669075950714	-3.6890848237703198	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_1.aspx	0	est_4_1		0	1/9	No	No	Yes	Yes
61	METRO	10	10_26	par_4_103	103	Casa de Campo	Ctra del Zoo 1	40.4032505862068	-3.76092145290442	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_103.aspx	0	est_4_103		2	5	No	No	Yes	No
