Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,1535.000000,1714.579956,1535.000000,1714.579956,1714.579956,0
2000-02-29,1697.739990,1810.979980,1607.530029,1800.219971,1800.219971,0
2000-03-31,1801.000000,1847.030029,1760.689941,1836.319946,1836.319946,0
2000-04-30,1836.319946,1898.750000,1704.589966,1894.550049,1894.550049,0
2000-05-31,1903.489990,1948.640015,1895.349976,1928.109985,1928.109985,0
2000-06-30,1895.640015,2023.540039,1895.640015,2023.540039,2023.540039,0
2000-07-31,2028.150024,2108.689941,2021.199951,2021.199951,2021.199951,0
2000-08-31,1999.859985,2010.599976,1875.910034,1910.160034,1910.160034,0
2000-09-30,1910.160034,1977.250000,1902.810059,1961.290039,1961.290039,0
2000-10-31,1977.359985,2119.439941,1977.359985,2070.610107,2070.610107,0
2000-11-30,2081.840088,2092.139893,2039.359985,2073.479980,2073.479980,0
2000-12-31,2073.479980,2125.610107,2032.439941,2065.610107,2065.610107,0
2001-01-31,2065.610107,2065.610107,1907.260010,1959.180054,1959.180054,0
2001-02-28,1965.119995,2112.770020,1965.119995,2112.770020,2112.770020,0
2001-03-31,2125.080078,2176.679932,2090.719971,2119.179932,2119.179932,0
2001-04-30,2119.179932,2214.260010,2119.179932,2214.260010,2214.260010,0
2001-05-31,2219.590088,2242.419922,2163.120117,2218.030029,2218.030029,0
2001-06-30,2205.989990,2211.830078,1920.319946,1920.319946,1920.319946,0
2001-07-31,1986.930054,1986.930054,1827.250000,1834.140015,1834.140015,0
2001-08-31,1817.189941,1868.270020,1764.869995,1764.869995,1764.869995,0
2001-09-30,1764.869995,1764.869995,1520.670044,1689.170044,1689.170044,0
2001-10-31,1707.750000,1747.989990,1594.050049,1747.989990,1747.989990,0
2001-11-30,1762.560059,1769.680054,1606.099976,1645.969971,1645.969971,0
2001-12-31,1645.969971,1645.969971,1358.689941,1491.670044,1491.670044,0
2002-01-31,1485.770020,1538.319946,1485.770020,1524.699951,1524.699951,0
2002-02-28,1502.540039,1685.020020,1502.540039,1603.910034,1603.910034,0
2002-03-31,1608.510010,1677.660034,1582.880005,1667.750000,1667.750000,0
2002-04-30,1667.750000,1667.750000,1515.729980,1515.729980,1515.729980,0
2002-05-31,1483.349976,1732.760010,1462.000000,1732.760010,1732.760010,0
2002-06-30,1713.699951,1732.930054,1651.589966,1651.589966,1651.589966,0
2002-07-31,1653.010010,1686.109985,1634.369995,1666.619995,1666.619995,0
2002-08-31,1668.770020,1674.069946,1581.619995,1581.619995,1581.619995,0
2002-09-30,1581.619995,1581.619995,1502.719971,1507.500000,1507.500000,0
2002-10-31,1510.760010,1558.239990,1371.170044,1434.180054,1434.180054,0
2002-11-30,1395.680054,1430.829956,1357.650024,1357.650024,1357.650024,0
2002-12-31,1357.650024,1500.640015,1319.869995,1499.810059,1499.810059,0
2003-01-31,1499.810059,1513.699951,1478.869995,1511.930054,1511.930054,0
2003-02-28,1525.479980,1525.479980,1456.270020,1510.579956,1510.579956,0
2003-03-31,1522.550049,1631.469971,1487.150024,1521.439941,1521.439941,0
2003-04-30,1521.439941,1576.260010,1485.310059,1576.260010,1576.260010,0
2003-05-31,1576.530029,1576.530029,1486.020020,1486.020020,1486.020020,0
