shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10__2____1__IT_1,40.39694379937,-3.77483103646944,1000001,0
10__2____1__IT_1,40.397052036761,-3.77492140696897,1000002,0.014254163795
10__2____1__IT_1,40.3974551436896,-3.77526375038372,1000003,0.081860291315
10__2____1__IT_1,40.3974888201057,-3.77527991930724,1000004,0.153448572898
10__2____1__IT_1,40.3975658005656,-3.77531551995331,1000005,0.234100488864
10__2____1__IT_1,40.3976402418142,-3.77537003255653,1000006,0.32422269931
10__2____1__IT_1,40.397669006868,-3.7753987695575,1000007,0.41836282976
10__2____1__IT_1,40.3977145877972,-3.77543874618667,1000008,0.518594870825
10__2____1__IT_1,40.3977577141972,-3.77548500536934,1000009,0.625018084389
10__2____1__IT_1,40.3978092008681,-3.77554398791297,1000010,0.739038778756
10__2____1__IT_1,40.3978762019944,-3.77562840033562,1000011,0.863386007317
10__2____1__IT_1,40.3979347475134,-3.77571429052912,1000012,0.997498942096
10__2____1__IT_1,40.3979932271107,-3.77580965217535,1000013,1.141986777283
10__2____1__IT_1,40.3980218120354,-3.77586521691836,1000014,1.29215842279
10__2____1__IT_1,40.3980646946851,-3.77594777232861,1000015,1.450800447088
10__2____1__IT_1,40.3981039354837,-3.77603344439056,1000016,1.617918216175
10__2____1__IT_1,40.3982299988592,-3.77630633374767,1000017,1.81209483085
10__2____1__IT_1,40.3983113964007,-3.77648571231584,1000018,2.023974325089
10__2____1__IT_1,40.3984142883401,-3.77671246061153,1000019,2.258231551935
10__2____1__IT_1,40.398718710436,-3.77737563495792,1000020,2.558135863099
10__2____1__IT_1,40.3987709671491,-3.7774993350206,1000021,2.870034219903
10__2____1__IT_1,40.3988113067572,-3.7776008014412,1000022,3.191638392914
10__2____1__IT_1,40.3988456157974,-3.77770219858637,1000023,3.522652904153
10__2____1__IT_1,40.3988762935427,-3.77780513173354,1000024,3.863043288899
10__2____1__IT_1,40.398897511211,-3.77787955159164,1000025,4.210174299053
10__2____1__IT_1,40.3989209286682,-3.77798555972217,1000026,4.566669861554
10__2____1__IT_1,40.3989523897504,-3.77815163098361,1000027,4.93768554119
10__2____1__IT_1,40.3989908428515,-3.77835407894202,1000028,5.326404547253
10__2____1__IT_1,40.3990304698026,-3.77856127675484,1000029,5.733249522154
10__2____1__IT_1,40.3990713260321,-3.7787653335825,1000030,6.157996060827
10__2____1__IT_1,40.3991171657624,-3.77894577358922,1000031,6.598879154978
10__2____1__IT_1,40.3991573681674,-3.77906775591833,1000032,7.051035359733
10__2____1__IT_1,40.3992012631663,-3.7791787340559,1000033,7.513795624328
10__2____1__IT_1,40.3992571681283,-3.77929774234496,1000034,7.988409855288
10__2____1__IT_1,40.3993060491418,-3.77938510674205,1000035,8.47221176033
10__2____1__IT_1,40.3993681462407,-3.77948051523032,1000036,8.966647344915
10__2____1__IT_1,40.3994267420166,-3.77955852272359,1000037,9.470363790865
10__2____1__IT_1,40.3995117617077,-3.77965419297539,1000038,9.986529698855
10__2____1__IT_1,40.3995920846246,-3.77973087376195,1000039,10.513734091893
10__2____1__IT_1,40.3996808950366,-3.77980133881112,1000040,11.052468857252
10__2____1__IT_1,40.3997673760529,-3.77985915245078,1000041,11.601984604346
10__2____1__IT_1,40.3998503239248,-3.77990429771782,1000042,12.161473283186
10__2____1__IT_1,40.3999405425762,-3.77994479386147,1000043,12.731549975993
10__2____1__IT_1,40.4000224014014,-3.77997256886531,1000044,13.31101417122
10__2____1__IT_1,40.4001621179924,-3.78000890034055,1000045,13.906291146927
10__2____1__IT_1,40.4004235592271,-3.78006557879226,1000046,14.530985369516
10__2____1__IT_1,40.4005512741033,-3.7800923027444,1000047,15.170036865306
10__2____1__IT_1,40.4006572297336,-3.78012509257897,1000048,15.821174686777
10__2____1__IT_1,40.4007619366776,-3.78016417904559,1000049,16.484399581161
