stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
est_10_1,1,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.4801465198578,-3.66674514942541,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_1_721,1,Arturo Soria,Calle de Arturo Soria 330,40.4802413946608,-3.66675407532139,,http://www.crtm.es,2,est_10_1,,0
acc_10_1_722,1,Ascensor,Calle de Arturo Soria 330,40.4801623473697,-3.66685151093018,,http://www.crtm.es,2,est_10_1,,0
est_10_2,2,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.4848247380077,-3.66315742898352,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_2_723,2,Avda. Fuente de la Mora,Cmno de la Fuente de la Mora 6,40.4856239214297,-3.6630915637964,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_724,2,Ascensor,Cmno de la Fuente de la Mora 6,40.4856646360419,-3.66293232553555,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_725,2,Camino Fuente de la Mora,Calle de Dulce Chacón 15,40.4846180261755,-3.66299322125579,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_726,2,Ascensor,Calle de Dulce Chacón 15,40.4846183843282,-3.66293078603163,,http://www.crtm.es,2,est_10_2,,0
est_10_3,3,VIRGEN DEL CORTIJO,Avda de Manoteras 54,40.4873511761159,-3.66089325497265,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_3_727,3,Avda. Manoteras,Avda de Manoteras 49,40.4874110931344,-3.66095798316337,,http://www.crtm.es,2,est_10_3,,0
acc_10_3_728,3,Ascensor,Avda de Manoteras 49,40.4874283587037,-3.6610658556304,,http://www.crtm.es,2,est_10_3,,0
est_10_4,4,ANTONIO SAURA,Calle del Príncipe Carlos 10,40.4854656558071,-3.6534414803704,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_4_732,4,Príncipe Carlos,Calle del Príncipe Carlos 10,40.4855339081833,-3.65340778400209,,http://www.crtm.es,2,est_10_4,,0
est_10_5,5,ALVAREZ DE VILLAAMIL,Calle del Príncipe Carlos 13 B,40.4890544267966,-3.65126978486273,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_5_733,5,Príncipe Carlos,Calle del Príncipe Carlos 13 B,40.4890344670687,-3.65116837593799,,http://www.crtm.es,2,est_10_5,,0
est_10_6,6,BLASCO IBAÑEZ,Calle del Príncipe Carlos 50,40.4936866543398,-3.65575148336768,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_6_719,6,Príncipe Carlos,Calle del Príncipe Carlos 48,40.4935496812987,-3.65554394010757,,http://www.crtm.es,2,est_10_6,,0
acc_10_6_720,6,Ascensor,Calle del Príncipe Carlos 48,40.493583838815,-3.65561451959993,,http://www.crtm.es,2,est_10_6,,0
est_10_7,7,MARIA TUDOR,Calle de María Tudor 15,40.4971737824759,-3.65879466658364,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_7_729,7,María Tudor,Calle de María Tudor 15,40.4970230535053,-3.65897676666145,,http://www.crtm.es,2,est_10_7,,0
acc_10_7_730,7,Ascensor,Calle de María Tudor 15,40.4970868714243,-3.65895791962203,,http://www.crtm.es,2,est_10_7,,0
acc_10_7_731,7,Catalina de Austria,Calle de María Tudor 15,40.4978000468845,-3.65811046868927,,http://www.crtm.es,2,est_10_7,,0
est_10_8,8,PALAS DE REY,Calle de Palas de Rey 18 A,40.5054445051445,-3.66497740428947,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_8_734,8,Palas de Rey,Calle de Palas de Rey SN,40.5054681387847,-3.66492043168118,,http://www.crtm.es,2,est_10_8,,0
est_10_9,9,LAS TABLAS,Calle de Palas de Rey 30,40.5082487195176,-3.66923052072699,A,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_9_735,9,Palas de Rey,Calle de Palas de Rey SN,40.5080914052834,-3.66875009304632,,http://www.crtm.es,2,est_10_9,,0
par_10_1,1,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.4801465198578,-3.66674514942541,A,http://www.crtm.es,0,est_10_1,,2
par_10_2,2,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.4848247380077,-3.66315742898352,A,http://www.crtm.es,0,est_10_2,,2
par_10_3,3,VIRGEN DEL CORTIJO,Avda de Manoteras 54,40.4873511761159,-3.66089325497265,A,http://www.crtm.es,0,est_10_3,,2
par_10_4,4,ANTONIO SAURA,Calle del Príncipe Carlos 10,40.4854656558071,-3.6534414803704,A,http://www.crtm.es,0,est_10_4,,2
par_10_5,5,ALVAREZ DE VILLAAMIL,Calle del Príncipe Carlos 13 B,40.4890544267966,-3.65126978486273,A,http://www.crtm.es,0,est_10_5,,2
par_10_6,6,BLASCO IBAÑEZ,Calle del Príncipe Carlos 50,40.4936866543398,-3.65575148336768,A,http://www.crtm.es,0,est_10_6,,2
par_10_7,7,MARIA TUDOR,Calle de María Tudor 15,40.4971737824759,-3.65879466658364,A,http://www.crtm.es,0,est_10_7,,2
par_10_8,8,PALAS DE REY,Calle de Palas de Rey 18 A,40.5054445051445,-3.66497740428947,A,http://www.crtm.es,0,est_10_8,,2
par_10_9,9,LAS TABLAS,Calle de Palas de Rey 30,40.5082487195176,-3.66923052072699,A,http://www.crtm.es,0,est_10_9,,2
est_10_10,10,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.3969894844388,-3.77447250975779,A,http://www.crtm.es,1,,Europe/Madrid,2
