shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5__10____1__IT_1,40.6261460855805,-4.00800497013498,1000001,0
5__10____1__IT_1,40.6260589238453,-4.0074779999455,1000002,0.045611187546
5__10____1__IT_1,40.6258753386629,-4.00611756887531,1000003,0.208083553505
5__10____1__IT_1,40.6257645947349,-4.00514927229567,1000004,0.453375761688
5__10____1__IT_1,40.625714812527,-4.00471558206163,1000005,0.735765167579
5__10____1__IT_1,40.6254882785211,-4.00320099296043,1000006,1.148709764329
5__10____1__IT_1,40.6253529267929,-4.00258916338413,1000007,1.615542789132
5__10____1__IT_1,40.6252087102333,-4.00199900546981,1000008,2.134798585737
5__10____1__IT_1,40.6250238346087,-4.00138921662651,1000009,2.709566489639
5__10____1__IT_1,40.6248737209355,-4.00099686423038,1000010,3.321470528691
5__10____1__IT_1,40.6246573611202,-4.00054327480533,1000011,3.978639615129
5__10____1__IT_1,40.6243905072968,-4.00008950409171,1000012,4.68429384128
5__10____1__IT_1,40.6240244789648,-3.99960936971038,1000013,5.447398074987
5__10____1__IT_1,40.6237634134945,-3.99928711509449,1000014,6.250288686885
5__10____1__IT_1,40.623467271741,-3.99897453722561,1000015,7.095367889176
5__10____1__IT_1,40.6228124376003,-3.99827199931975,1000016,8.03434072564
5__10____1__IT_1,40.6209506839844,-3.99626808408285,1000017,9.240613929687
5__10____1__IT_1,40.6198918284743,-3.99514288909365,1000018,10.598137475512
5__10____1__IT_1,40.6191528048236,-3.99432696530846,1000019,12.062873830557
5__10____1__IT_1,40.6182422810589,-3.9933217268604,1000020,13.659702076857
5__10____1__IT_1,40.6177726340769,-3.99279339983656,1000021,15.325201499969
5__10____1__IT_1,40.6172616466912,-3.9923334673321,1000022,17.059488061715
5__10____1__IT_1,40.6166336626599,-3.99185901292218,1000023,18.874217332651
5__10____1__IT_1,40.616393835979,-3.99169599496201,1000024,20.718930114027
5__10____1__IT_1,40.6159762137009,-3.99141212251454,1000025,22.61585478338
5__10____1__IT_1,40.615475173006,-3.99112511119615,1000026,24.573469927595
5__10____1__IT_1,40.614425926409,-3.99066014351632,1000027,26.654027454436
5__10____1__IT_1,40.613417566091,-3.99021188175719,1000028,28.852775081764
5__10____1__IT_1,40.6126224387606,-3.98987360789866,1000029,31.144315330737
5__10____1__IT_1,40.6116549818643,-3.98944206395297,1000030,33.549291492126
5__10____1__IT_1,40.6107502648172,-3.98897663648697,1000031,36.062145889614
5__10____1__IT_1,40.6099664185178,-3.98846205323635,1000032,38.672300260473
5__10____1__IT_1,40.6097177741266,-3.98828293844664,1000033,41.313943471946
5__10____1__IT_1,40.6092737034038,-3.98794934791246,1000034,44.01239155975
5__10____1__IT_1,40.6074358154677,-3.98652632037636,1000035,46.9477427371
5__10____1__IT_1,40.6070836913025,-3.98624570914166,1000036,49.928829195152
5__10____1__IT_1,40.6066730790101,-3.98596593274379,1000037,52.961278590968
5__10____1__IT_1,40.606297890637,-3.98574919542484,1000038,56.039236779372
5__10____1__IT_1,40.6059677888604,-3.9856217813907,1000039,59.155393221765
5__10____1__IT_1,40.6053103584441,-3.9853719028264,1000040,62.34753333526
5__10____1__IT_1,40.60431542888,-3.98505815189085,1000041,65.653268648543
5__10____1__IT_1,40.6031295024115,-3.98472542544118,1000042,69.093633179593
5__10____1__IT_1,40.6025762104289,-3.98454099529243,1000043,72.597371435214
5__10____1__IT_1,40.6022045577951,-3.98431899413885,1000044,76.146442673959
5__10____1__IT_1,40.6019059087941,-3.98413766362016,1000045,79.732045850848
5__10____1__IT_1,40.6016113506737,-3.98387566327589,1000046,83.357155057878
5__10____1__IT_1,40.601298118015,-3.98355877501836,1000047,87.026174360963
5__10____1__IT_1,40.6008438318797,-3.98303317654571,1000048,90.762433643147
5__10____1__IT_1,40.600572393323,-3.98262423862034,1000049,94.544576763367
5__10____1__IT_1,40.6003687038375,-3.98224304235837,1000050,98.366111490846
5__10____1__IT_1,40.6001666845688,-3.98183369218571,1000051,102.228910124656
5__10____1__IT_1,40.6001666845688,-3.98183369218571,2000001,102.228910124656
5__10____1__IT_1,40.6000243139631,-3.98150542305214,2000002,102.260868638081
5__10____1__IT_1,40.5998448112906,-3.98097832592704,2000003,102.341677232316
5__10____1__IT_1,40.5996481220525,-3.98033476410203,2000004,102.481156161998
5__10____1__IT_1,40.5995181232735,-3.97986203670627,2000005,102.663159368852
5__10____1__IT_1,40.5991896052029,-3.97869209110597,2000006,102.950663585967
5__10____1__IT_1,40.5990725690593,-3.97829703500678,2000007,103.2740324073
5__10____1__IT_1,40.5989112197387,-3.97777022146155,2000008,103.645442763299
5__10____1__IT_1,40.5987650842168,-3.97732408474161,2000009,104.057942251399
5__10____1__IT_1,40.5986070381817,-3.97694333733031,2000010,104.50712724703
5__10____1__IT_1,40.5983143354688,-3.9763699200178,2000011,105.014708833731
5__10____1__IT_1,40.5978524549047,-3.97565697335811,2000012,105.601464832584
5__10____1__IT_1,40.5973005785069,-3.9750851603696,2000013,106.266289021266
5__10____1__IT_1,40.5970321470188,-3.97488054022791,2000014,106.965577641682
5__10____1__IT_1,40.5967404525383,-3.97466062291233,2000015,107.70221438446
5__10____1__IT_1,40.5963561591412,-3.97442378791934,2000016,108.485985296473
5__10____1__IT_1,40.5961111669578,-3.97428336864533,2000017,109.299435756712
5__10____1__IT_1,40.5958169858464,-3.97415360899372,2000018,110.147340471113
5__10____1__IT_1,40.5954357555241,-3.97402679847129,2000019,111.038905692357
5__10____1__IT_1,40.5947555965637,-3.97381681307829,2000020,112.008039629308
5__10____1__IT_1,40.5943742001584,-3.97369433045642,2000021,113.020763443577
5__10____1__IT_1,40.5938254723936,-3.97350298848567,2000022,114.096518034067
5__10____1__IT_1,40.5934007252461,-3.97337403580953,2000023,115.2206710273
5__10____1__IT_1,40.5928221075318,-3.97312369627866,2000024,116.412460986008
5__10____1__IT_1,40.5926212325225,-3.97300856385667,2000025,117.628586084939
5__10____1__IT_1,40.5923991909691,-3.97286771602648,2000026,118.872091081123
5__10____1__IT_1,40.5922293129323,-3.97272167745619,2000027,120.138143348658
5__10____1__IT_1,40.5920440014423,-3.97255758813868,2000028,121.429015504875
5__10____1__IT_1,40.5914078596267,-3.97193856856843,2000029,122.807815698052
5__10____1__IT_1,40.591159152754,-3.9715975794833,2000030,124.226553367501
5__10____1__IT_1,40.5907439653818,-3.97096281467954,2000031,125.716072659203
5__10____1__IT_1,40.5901144004102,-3.96971590056943,2000032,127.332161293777
5__10____1__IT_1,40.5884022952271,-3.96605284731249,2000033,129.3118785043
5__10____1__IT_1,40.5876504038115,-3.96457876752584,2000034,131.441696739676
5__10____1__IT_1,40.5871944567724,-3.96399872550649,2000035,133.642025663298
5__10____1__IT_1,40.586857500385,-3.96362952528376,2000036,135.891094183272
5__10____1__IT_1,40.5863021443617,-3.96318971631685,2000037,138.212179066265
5__10____1__IT_1,40.5858271627037,-3.96287904522095,2000038,140.592184537104
5__10____1__IT_1,40.5854105342435,-3.96265715695294,2000039,143.022107829903
5__10____1__IT_1,40.5850267160355,-3.9625235015551,2000040,145.496115488976
5__10____1__IT_1,40.5842594447211,-3.96242543840301,2000041,148.055702753674
5__10____1__IT_1,40.5833753209243,-3.96236496258346,2000042,150.713571589697
5__10____1__IT_1,40.5824464115449,-3.96228056459154,2000043,153.47480744906
5__10____1__IT_1,40.5817046324644,-3.96224644297957,2000044,156.318440160681
5__10____1__IT_1,40.5803499242268,-3.96197379523959,2000045,159.314221675704
5__10____1__IT_1,40.5792544328896,-3.96157609854878,2000046,162.436188275196
5__10____1__IT_1,40.5785715271156,-3.96122068620903,2000047,165.639716028805
5__10____1__IT_1,40.5781418601845,-3.96095555754498,2000048,168.895957317335
5__10____1__IT_1,40.577499189296,-3.96048441890536,2000049,172.233931664194
5__10____1__IT_1,40.5771362313947,-3.96013197748459,2000050,175.622040327301
5__10____1__IT_1,40.5769035804258,-3.95992154009716,2000051,179.041522778907
5__10____1__IT_1,40.5766114726577,-3.95963257455482,2000052,182.501622979462
5__10____1__IT_1,40.576206077986,-3.95917848917348,2000053,186.020906500042
5__10____1__IT_1,40.5757634471364,-3.95863029278595,2000054,189.607774537927
5__10____1__IT_1,40.5745872435936,-3.95699174978764,2000055,193.385131909424
5__10____1__IT_1,40.5740535365854,-3.9562823421063,2000056,197.246847366024
5__10____1__IT_1,40.5740535365854,-3.9562823421063,3000001,197.246847366024
5__10____1__IT_1,40.5737823896482,-3.95589753209051,3000002,197.291199112994
5__10____1__IT_1,40.5725900149301,-3.95431479809438,3000003,197.523888621632
5__10____1__IT_1,40.5723725156903,-3.95401760534374,3000004,197.791447535141
5__10____1__IT_1,40.5722753716977,-3.95387041148141,3000005,198.075485206386
5__10____1__IT_1,40.5720543954274,-3.95357997400267,3000006,198.394253617681
5__10____1__IT_1,40.5713913543081,-3.9525430469766,3000007,198.827575777469
5__10____1__IT_1,40.5709927508974,-3.95184351069436,3000008,199.334821471294
5__10____1__IT_1,40.5706784978688,-3.95127384602115,3000009,199.901586193743
5__10____1__IT_1,40.5701243081401,-3.95006884722674,3000010,200.587473733561
5__10____1__IT_1,40.569534603894,-3.94853728911029,3000011,201.418602986239
5__10____1__IT_1,40.5693554728963,-3.94798005332632,3000012,202.300924644193
5__10____1__IT_1,40.5692152843733,-3.94754396415142,3000013,203.223309305045
5__10____1__IT_1,40.5691043895764,-3.94711298039892,3000014,204.184199598115
5__10____1__IT_1,40.5688900669754,-3.9462800429534,3000015,205.219507752847
5__10____1__IT_1,40.5686990255982,-3.94534998929592,3000016,206.33635577325
5__10____1__IT_1,40.5686182132838,-3.94468731552065,3000017,207.510015270604
5__10____1__IT_1,40.5684934471433,-3.94367840460329,3000018,208.770200054245
5__10____1__IT_1,40.5684169014424,-3.94303967984627,3000019,210.085119898551
5__10____1__IT_1,40.5682885980241,-3.94138707102157,3000020,211.540665193864
5__10____1__IT_1,40.567942684403,-3.93590792157338,3000021,213.46163835837
5__10____1__IT_1,40.5676913314219,-3.93250644028768,3000022,215.671916000737
5__10____1__IT_1,40.5675995794101,-3.93112808926288,3000023,217.999323254262
5__10____1__IT_1,40.5675243826174,-3.93041176334575,3000024,220.387943834458
5__10____1__IT_1,40.5674508834908,-3.93001400612283,3000025,222.811211512927
5__10____1__IT_1,40.5673324810062,-3.9293287875184,3000026,225.293957864443
5__10____1__IT_1,40.5671575193417,-3.92864987503651,3000027,227.837371760209
5__10____1__IT_1,40.5669265503502,-3.92801480445968,3000028,230.440349766114
5__10____1__IT_1,40.5666258753572,-3.92740353144881,3000029,233.104907214429
5__10____1__IT_1,40.5664245005486,-3.9270319066342,3000030,235.808058969741
5__10____1__IT_1,40.5661556565562,-3.92662116205771,3000031,238.557034768299
5__10____1__IT_1,40.5658780110929,-3.92624371863026,3000032,241.350406631552
5__10____1__IT_1,40.5647317255541,-3.92493014093908,3000033,244.312773764951
5__10____1__IT_1,40.5640155648531,-3.92410797377064,3000034,247.380807009449
5__10____1__IT_1,40.5636984066693,-3.92366031574398,3000035,250.500569766388
5__10____1__IT_1,40.5634341176495,-3.92321483389287,3000036,253.668115312324
5__10____1__IT_1,40.5631866370637,-3.92276874876871,3000037,256.882362616601
5__10____1__IT_1,40.5630411241935,-3.92242948497163,3000038,260.129563321813
5__10____1__IT_1,40.5628675291365,-3.92194469055163,3000039,263.422106590175
5__10____1__IT_1,40.5627020085956,-3.92138122652961,3000040,266.765770331689
5__10____1__IT_1,40.5623683706783,-3.92028452867665,3000041,270.20939770291
5__10____1__IT_1,40.5623485826232,-3.92021948810096,3000042,273.658953569793
5__10____1__IT_1,40.562275235159,-3.91995724959924,3000043,277.132157246579
5__10____1__IT_1,40.5616974395245,-3.91789157752745,3000044,280.791638462181
5__10____1__IT_1,40.5611177996768,-3.91572745537978,3000045,284.645312975739
5__10____1__IT_1,40.5610009244324,-3.91522792502764,3000046,288.543225234207
5__10____1__IT_1,40.5609216473195,-3.91481083686517,3000047,292.47753011766
5__10____1__IT_1,40.5608815738575,-3.91440138018698,3000048,296.446785682302
5__10____1__IT_1,40.5608416039751,-3.91398068872672,3000049,300.451934177731
